Hours_Worked_Per_Week,Employee_ID,Satisfaction_with_Remote_Work,Physical_Activity,Gender,Arbeitsplatz,Access_to_Mental_Health_Resources,Number_of_Virtual_Meetings,Company_Support_for_Remote_Work,Social_Isolation_Rating,old age,Industrie,be life story equipoise military rating,Productivity_Change,Sleep_Quality
56,EMP2908,Neutral,None,Female,Hybrid,Yes,0,1,3,54,Manufacturing,1,Decrease,Average
26,EMP2909,Satisfied,Daily,Prefer not to say,Remote,No,1,3,4,27,IT,4,Decrease,Average
25,EMP2910,Unsatisfied,Daily,Male,Hybrid,Yes,9,5,3,51,Finance,2,No Change,Average
27,EMP2911,Neutral,None,Female,Remote,No,15,4,2,44,IT,4,No Change,Average
60,EMP2912,Neutral,None,Prefer not to say,Hybrid,Yes,11,4,1,28,Retail,4,Increase,Good
21,EMP2913,Satisfied,Daily,Prefer not to say,Hybrid,Yes,3,4,5,34,Manufacturing,5,No Change,Good
25,EMP2914,Satisfied,Daily,Non-binary,Onsite,Yes,10,2,1,53,Education,1,No Change,Poor
52,EMP2915,Neutral,None,Prefer not to say,Hybrid,Yes,1,5,5,41,Retail,3,Increase,Good
41,EMP2916,Neutral,None,Prefer not to say,Remote,Yes,8,1,2,54,Finance,3,No Change,Average
21,EMP2917,Neutral,Weekly,Prefer not to say,Remote,No,1,4,1,35,IT,1,No Change,Poor
56,EMP2918,Unsatisfied,None,Prefer not to say,Remote,No,2,5,4,60,IT,4,No Change,Poor
38,EMP2919,Unsatisfied,Weekly,Male,Hybrid,Yes,6,3,1,54,Healthcare,1,Decrease,Poor
43,EMP2920,Satisfied,Weekly,Male,Remote,Yes,9,5,5,29,Consulting,1,No Change,Good
20,EMP2921,Unsatisfied,None,Male,Hybrid,No,12,5,4,34,Consulting,1,Decrease,Poor
52,EMP2922,Neutral,None,Female,Remote,No,7,3,1,52,Retail,4,Decrease,Average
21,EMP2923,Unsatisfied,Weekly,Prefer not to say,Remote,No,4,5,5,25,Retail,2,Decrease,Good
56,EMP2924,Satisfied,Weekly,Female,Remote,No,15,3,3,58,Retail,4,Increase,Poor
38,EMP2925,Neutral,Weekly,Female,Onsite,No,5,4,1,22,Consulting,3,Decrease,Poor
39,EMP2926,Unsatisfied,None,Prefer not to say,Remote,Yes,15,1,5,48,Education,3,No Change,Poor
47,EMP2927,Neutral,None,Prefer not to say,Onsite,Yes,5,2,4,31,Manufacturing,2,Decrease,Average
53,EMP2928,Unsatisfied,Weekly,Male,Remote,No,8,2,1,33,Finance,2,No Change,Average
58,EMP2929,Unsatisfied,Weekly,Non-binary,Onsite,Yes,7,4,4,41,Retail,3,No Change,Average
55,EMP2930,Satisfied,None,Male,Onsite,No,15,3,4,26,Retail,5,Decrease,Good
54,EMP2931,Satisfied,Weekly,Female,Remote,Yes,13,3,4,40,Finance,3,No Change,Good
60,EMP2932,Neutral,Weekly,Non-binary,Onsite,No,13,5,4,38,Education,2,Decrease,Good
34,EMP2933,Neutral,Weekly,Female,Hybrid,No,13,1,3,43,Retail,2,No Change,Poor
50,EMP2934,Neutral,Weekly,Prefer not to say,Remote,No,14,3,3,32,IT,4,No Change,Average
60,EMP2935,Satisfied,Daily,Female,Onsite,No,15,1,5,23,IT,5,Increase,Average
20,EMP2936,Satisfied,None,Male,Remote,No,11,3,5,29,Healthcare,1,Decrease,Average
60,EMP2937,Unsatisfied,Daily,Non-binary,Hybrid,No,15,1,1,36,Consulting,3,Increase,Poor
38,EMP2938,Satisfied,Weekly,Prefer not to say,Remote,No,10,1,5,31,IT,3,Decrease,Good
53,EMP2939,Satisfied,None,Prefer not to say,Onsite,Yes,5,5,4,56,Education,5,Decrease,Poor
58,EMP2940,Satisfied,Weekly,Female,Onsite,Yes,10,2,3,24,IT,4,Increase,Poor
49,EMP2941,Neutral,Daily,Prefer not to say,Onsite,Yes,13,1,5,39,Manufacturing,5,No Change,Average
30,EMP2942,Satisfied,None,Male,Remote,Yes,2,5,5,49,Consulting,5,No Change,Average
42,EMP2943,Unsatisfied,Daily,Female,Remote,No,5,3,1,29,Healthcare,4,No Change,Good
34,EMP2944,Satisfied,None,Male,Remote,No,5,3,5,58,Education,2,Increase,Good
41,EMP2945,Satisfied,Daily,Male,Remote,Yes,11,2,2,54,IT,3,No Change,Good
22,EMP2946,Unsatisfied,None,Female,Remote,No,12,2,4,25,Retail,4,No Change,Average
24,EMP2947,Neutral,None,Male,Onsite,No,12,5,3,35,Consulting,2,Decrease,Average
57,EMP2948,Unsatisfied,Weekly,Non-binary,Hybrid,Yes,9,3,3,37,Healthcare,2,Decrease,Poor
29,EMP2949,Unsatisfied,None,Prefer not to say,Remote,No,15,1,1,36,Finance,4,No Change,Average
41,EMP2950,Unsatisfied,None,Non-binary,Remote,No,11,2,2,60,Retail,1,Increase,Good
27,EMP2951,Unsatisfied,Daily,Prefer not to say,Remote,No,13,2,3,53,Education,5,Decrease,Average
47,EMP2952,Unsatisfied,Weekly,Female,Remote,Yes,7,1,2,37,Finance,4,Increase,Average
41,EMP2953,Unsatisfied,Daily,Female,Onsite,Yes,7,5,1,58,Retail,2,Decrease,Good
33,EMP2954,Neutral,None,Non-binary,Remote,Yes,11,2,1,45,IT,3,Increase,Poor
35,EMP2955,Unsatisfied,None,Female,Remote,Yes,6,4,5,37,IT,5,Decrease,Average
60,EMP2956,Unsatisfied,Weekly,Male,Remote,No,11,2,3,22,Consulting,5,Increase,Good
56,EMP2957,Unsatisfied,None,Male,Onsite,No,6,4,1,54,IT,5,Decrease,Average
28,EMP2958,Unsatisfied,Weekly,Prefer not to say,Remote,No,13,3,5,48,IT,4,Increase,Average
22,EMP2959,Neutral,Weekly,Non-binary,Onsite,No,14,3,2,41,Healthcare,4,No Change,Poor
24,EMP2960,Satisfied,Daily,Non-binary,Hybrid,Yes,0,3,5,30,Finance,2,Decrease,Good
22,EMP2961,Satisfied,Weekly,Female,Hybrid,No,14,4,2,37,Consulting,4,No Change,Poor
37,EMP2962,Neutral,Weekly,Male,Remote,No,12,2,5,45,Education,5,No Change,Average
32,EMP2963,Satisfied,Weekly,Prefer not to say,Hybrid,No,4,2,3,58,Education,5,No Change,Poor
51,EMP2964,Satisfied,Weekly,Prefer not to say,Onsite,Yes,14,3,5,29,IT,2,No Change,Good
60,EMP2965,Neutral,Weekly,Male,Remote,No,14,2,4,35,Manufacturing,5,No Change,Good
27,EMP2966,Satisfied,Weekly,Prefer not to say,Onsite,No,4,1,4,22,Education,1,Decrease,Good
44,EMP2967,Unsatisfied,None,Prefer not to say,Hybrid,No,3,4,1,44,Retail,2,Decrease,Good
48,EMP2968,Unsatisfied,Daily,Male,Hybrid,Yes,3,5,3,31,Healthcare,3,Decrease,Poor
58,EMP2969,Neutral,None,Male,Remote,No,14,2,5,42,IT,2,No Change,Poor
27,EMP2970,Neutral,None,Non-binary,Hybrid,No,4,1,1,30,Finance,1,Decrease,Poor
22,EMP2971,Unsatisfied,Daily,Non-binary,Remote,No,0,3,3,28,Retail,1,No Change,Average
50,EMP2972,Satisfied,Daily,Male,Onsite,Yes,13,3,1,55,Healthcare,1,No Change,Good
39,EMP2973,Neutral,None,Male,Onsite,Yes,2,1,5,42,Manufacturing,4,Increase,Poor
20,EMP2974,Neutral,Daily,Prefer not to say,Remote,Yes,12,4,4,46,Finance,3,Increase,Good
36,EMP2975,Unsatisfied,Weekly,Male,Remote,Yes,1,4,3,27,IT,1,Decrease,Poor
60,EMP2976,Unsatisfied,None,Male,Hybrid,Yes,15,2,2,58,IT,1,Decrease,Average
55,EMP2977,Satisfied,Weekly,Non-binary,Onsite,No,11,2,5,35,Healthcare,4,Increase,Average
41,EMP2978,Unsatisfied,Daily,Non-binary,Onsite,Yes,12,3,5,43,Education,2,Decrease,Average
38,EMP2979,Satisfied,None,Male,Onsite,No,10,5,1,23,Manufacturing,5,No Change,Average
56,EMP2980,Unsatisfied,Weekly,Female,Onsite,Yes,4,4,1,22,Consulting,3,No Change,Poor
54,EMP2981,Unsatisfied,Weekly,Female,Hybrid,No,8,5,3,30,Consulting,1,No Change,Poor
23,EMP2982,Neutral,Weekly,Female,Hybrid,Yes,2,1,2,47,Manufacturing,1,Increase,Average
46,EMP2983,Satisfied,Weekly,Male,Remote,No,11,5,2,54,Education,1,Increase,Poor
46,EMP2984,Neutral,Weekly,Female,Hybrid,Yes,15,3,3,47,Healthcare,1,Decrease,Average
59,EMP2985,Satisfied,None,Male,Remote,Yes,8,3,5,52,Education,1,No Change,Good
42,EMP2986,Satisfied,Daily,Prefer not to say,Hybrid,Yes,4,1,4,32,IT,5,No Change,Poor
55,EMP2987,Unsatisfied,Weekly,Female,Remote,Yes,0,4,2,33,Education,5,Increase,Good
37,EMP2988,Neutral,Daily,Non-binary,Onsite,No,13,4,2,35,Healthcare,5,No Change,Good
31,EMP2989,Satisfied,None,Prefer not to say,Onsite,No,15,2,3,60,Consulting,2,Increase,Average
38,EMP2990,Satisfied,Daily,Non-binary,Onsite,No,1,3,1,46,Healthcare,1,Decrease,Good
46,EMP2991,Satisfied,Daily,Prefer not to say,Onsite,No,3,5,1,57,Healthcare,3,Decrease,Good
46,EMP2992,Satisfied,Daily,Prefer not to say,Onsite,No,7,1,1,40,Finance,2,Increase,Average
43,EMP2993,Satisfied,None,Female,Remote,Yes,13,3,2,36,IT,3,No Change,Good
38,EMP2994,Satisfied,Daily,Non-binary,Remote,Yes,15,2,1,56,Finance,4,Decrease,Good
47,EMP2995,Neutral,None,Female,Onsite,No,12,2,1,33,Finance,2,No Change,Poor
27,EMP2996,Satisfied,None,Male,Hybrid,No,4,2,5,51,Education,5,Decrease,Good
49,EMP2997,Neutral,Daily,Non-binary,Hybrid,No,1,1,5,40,Manufacturing,1,Increase,Good
33,EMP2998,Neutral,Daily,Male,Remote,Yes,11,3,4,28,Finance,4,No Change,Good
42,EMP2999,Satisfied,Weekly,Male,Onsite,No,12,1,5,26,Consulting,4,No Change,Good
59,EMP3000,Satisfied,Daily,Prefer not to say,Hybrid,Yes,10,5,4,39,Retail,2,No Change,Poor
28,EMP3001,Neutral,Daily,Male,Hybrid,Yes,15,3,5,23,Finance,1,No Change,Good
49,EMP3002,Neutral,None,Non-binary,Hybrid,No,8,5,3,30,Healthcare,2,Increase,Poor
28,EMP3003,Neutral,Daily,Non-binary,Onsite,No,3,2,1,41,Finance,5,Increase,Average
56,EMP3004,Neutral,None,Non-binary,Onsite,Yes,13,4,2,47,Manufacturing,2,Increase,Poor
35,EMP3005,Satisfied,Daily,Male,Onsite,No,10,2,1,44,Retail,2,Decrease,Good
42,EMP3006,Neutral,Daily,Female,Onsite,No,6,4,4,48,Consulting,1,Increase,Good
34,EMP3007,Neutral,Daily,Prefer not to say,Hybrid,Yes,8,5,5,35,Education,2,Decrease,Average
22,EMP3008,Satisfied,Daily,Male,Hybrid,No,9,5,5,37,Finance,5,No Change,Average
38,EMP3009,Satisfied,Daily,Prefer not to say,Onsite,Yes,11,2,1,37,Manufacturing,4,Decrease,Average
47,EMP3010,Satisfied,None,Female,Remote,Yes,10,3,5,49,Manufacturing,1,Decrease,Average
42,EMP3011,Unsatisfied,Daily,Female,Remote,Yes,9,5,3,52,Finance,5,No Change,Average
39,EMP3012,Unsatisfied,None,Male,Remote,No,15,2,4,22,Healthcare,4,Increase,Good
41,EMP3013,Neutral,None,Non-binary,Hybrid,No,3,2,4,34,Healthcare,1,Increase,Average
29,EMP3014,Unsatisfied,Daily,Male,Remote,No,6,1,3,44,Manufacturing,1,No Change,Poor
51,EMP3015,Satisfied,None,Female,Onsite,Yes,4,5,5,26,Healthcare,3,Increase,Good
53,EMP3016,Unsatisfied,Daily,Female,Onsite,No,14,5,4,39,Retail,4,Increase,Poor
27,EMP3017,Neutral,None,Non-binary,Hybrid,No,12,2,5,50,Education,1,Increase,Good
46,EMP3018,Neutral,None,Female,Onsite,No,4,5,5,53,Education,2,Increase,Average
48,EMP3019,Neutral,None,Non-binary,Onsite,No,15,2,3,40,Finance,1,Decrease,Good
36,EMP3020,Satisfied,Weekly,Female,Onsite,Yes,6,5,1,52,Education,2,Decrease,Average
21,EMP3021,Satisfied,None,Male,Remote,No,10,1,1,24,Consulting,3,No Change,Average
59,EMP3022,Unsatisfied,Daily,Female,Hybrid,No,2,2,1,50,Manufacturing,3,Increase,Poor
25,EMP3023,Unsatisfied,Daily,Female,Hybrid,No,11,5,2,33,Finance,3,No Change,Poor
23,EMP3024,Unsatisfied,Weekly,Non-binary,Hybrid,Yes,9,1,2,32,Education,5,Decrease,Poor
59,EMP3025,Unsatisfied,None,Prefer not to say,Hybrid,No,5,4,3,40,Education,3,No Change,Average
49,EMP3026,Unsatisfied,Daily,Non-binary,Onsite,No,15,5,2,39,Retail,1,No Change,Poor
37,EMP3027,Neutral,Weekly,Prefer not to say,Onsite,Yes,6,3,2,59,Healthcare,4,No Change,Poor
54,EMP3028,Neutral,Daily,Non-binary,Hybrid,Yes,2,5,5,53,Manufacturing,1,Increase,Average
27,EMP3029,Satisfied,Daily,Non-binary,Remote,No,14,3,5,34,Finance,1,Decrease,Poor
51,EMP3030,Satisfied,Weekly,Male,Hybrid,Yes,7,1,4,58,Education,5,Decrease,Poor
46,EMP3031,Unsatisfied,Daily,Prefer not to say,Remote,Yes,4,3,2,40,Manufacturing,4,Decrease,Good
31,EMP3032,Satisfied,Weekly,Male,Hybrid,Yes,2,5,5,49,Retail,1,No Change,Good
22,EMP3033,Neutral,None,Prefer not to say,Remote,No,4,2,4,42,Consulting,5,No Change,Poor
31,EMP3034,Satisfied,Daily,Male,Onsite,Yes,0,3,1,22,Consulting,1,No Change,Average
49,EMP3035,Neutral,None,Male,Onsite,Yes,0,2,5,51,Retail,3,Decrease,Poor
52,EMP3036,Unsatisfied,None,Female,Remote,No,4,5,2,34,Manufacturing,3,Increase,Poor
30,EMP3037,Satisfied,Daily,Prefer not to say,Remote,No,9,5,3,56,IT,3,No Change,Poor
54,EMP3038,Neutral,Weekly,Prefer not to say,Hybrid,Yes,1,4,5,59,IT,3,No Change,Average
49,EMP3039,Unsatisfied,Daily,Male,Onsite,Yes,1,2,5,49,Education,4,No Change,Average
47,EMP3040,Neutral,Daily,Non-binary,Remote,No,12,1,4,33,Manufacturing,2,Decrease,Average
22,EMP3041,Unsatisfied,Daily,Female,Remote,Yes,5,4,1,52,IT,1,Decrease,Poor
39,EMP3042,Satisfied,Weekly,Prefer not to say,Hybrid,Yes,2,4,5,52,Manufacturing,4,No Change,Poor
35,EMP3043,Neutral,None,Non-binary,Onsite,No,8,5,3,24,Manufacturing,1,No Change,Poor
24,EMP3044,Neutral,Daily,Non-binary,Onsite,Yes,0,2,5,27,Manufacturing,1,Increase,Good
53,EMP3045,Unsatisfied,Daily,Female,Onsite,No,14,5,5,25,Healthcare,1,Decrease,Average
48,EMP3046,Satisfied,Daily,Female,Onsite,No,3,3,2,53,Finance,5,No Change,Average
40,EMP3047,Unsatisfied,Daily,Prefer not to say,Onsite,Yes,9,4,5,39,Retail,1,No Change,Good
58,EMP3048,Unsatisfied,Weekly,Male,Onsite,Yes,14,3,5,50,IT,1,Increase,Poor
36,EMP3049,Neutral,Weekly,Non-binary,Hybrid,No,6,2,1,56,Education,1,No Change,Poor
28,EMP3050,Neutral,None,Female,Onsite,Yes,15,2,4,33,Retail,1,Decrease,Poor
59,EMP3051,Unsatisfied,None,Non-binary,Hybrid,No,2,1,2,35,Consulting,1,Decrease,Average
34,EMP3052,Neutral,None,Non-binary,Remote,Yes,13,5,1,49,Healthcare,1,No Change,Good
30,EMP3053,Satisfied,Weekly,Male,Onsite,Yes,1,2,1,23,Retail,2,No Change,Good
43,EMP3054,Neutral,Daily,Prefer not to say,Onsite,Yes,11,4,1,48,Retail,1,No Change,Average
26,EMP3055,Neutral,Weekly,Female,Hybrid,No,3,5,5,31,Manufacturing,2,Decrease,Poor
21,EMP3056,Neutral,Weekly,Non-binary,Hybrid,Yes,5,3,5,52,Retail,5,No Change,Average
52,EMP3057,Unsatisfied,Weekly,Male,Hybrid,Yes,4,4,3,51,Manufacturing,3,Decrease,Poor
52,EMP3058,Unsatisfied,Weekly,Male,Onsite,No,1,4,4,43,Manufacturing,3,Increase,Good
24,EMP3059,Unsatisfied,Weekly,Male,Remote,Yes,11,2,4,53,Finance,2,Decrease,Average
38,EMP3060,Unsatisfied,Weekly,Male,Onsite,No,6,5,2,36,Finance,4,Decrease,Good
50,EMP3061,Unsatisfied,None,Female,Hybrid,Yes,14,2,5,24,Finance,1,Decrease,Poor
36,EMP3062,Neutral,Daily,Prefer not to say,Hybrid,No,7,1,4,45,Manufacturing,2,No Change,Poor
56,EMP3063,Unsatisfied,None,Male,Hybrid,No,5,2,1,28,Healthcare,2,Increase,Average
42,EMP3064,Neutral,Weekly,Male,Onsite,No,9,4,3,35,Education,4,Decrease,Good
57,EMP3065,Neutral,Weekly,Male,Hybrid,Yes,11,3,2,55,Manufacturing,4,Decrease,Poor
26,EMP3066,Unsatisfied,Daily,Male,Onsite,Yes,6,1,1,32,Healthcare,4,Decrease,Poor
46,EMP3067,Satisfied,Daily,Male,Onsite,No,1,3,3,22,Consulting,4,No Change,Good
26,EMP3068,Neutral,Daily,Male,Onsite,No,13,3,5,34,IT,5,No Change,Poor
32,EMP3069,Unsatisfied,None,Prefer not to say,Remote,Yes,7,2,1,29,IT,1,Increase,Good
33,EMP3070,Unsatisfied,Weekly,Female,Onsite,No,15,1,2,29,Finance,4,Increase,Good
46,EMP3071,Satisfied,None,Female,Hybrid,No,6,4,4,31,Manufacturing,1,Increase,Good
31,EMP3072,Satisfied,Weekly,Prefer not to say,Onsite,Yes,3,2,5,49,Education,5,Decrease,Poor
38,EMP3073,Neutral,None,Prefer not to say,Hybrid,Yes,2,3,4,25,Retail,2,No Change,Good
45,EMP3074,Unsatisfied,None,Prefer not to say,Hybrid,Yes,6,1,5,52,Retail,4,Increase,Poor
30,EMP3075,Unsatisfied,Weekly,Female,Hybrid,Yes,4,4,2,47,Consulting,2,Increase,Poor
35,EMP3076,Unsatisfied,None,Male,Hybrid,Yes,10,2,5,25,Consulting,4,Increase,Good
28,EMP3077,Satisfied,Weekly,Prefer not to say,Remote,Yes,7,4,2,48,Education,5,No Change,Average
45,EMP3078,Satisfied,Daily,Non-binary,Hybrid,No,1,2,4,44,Healthcare,4,No Change,Average
36,EMP3079,Neutral,Daily,Female,Remote,Yes,10,3,4,53,Education,1,No Change,Average
34,EMP3080,Neutral,Daily,Female,Remote,Yes,12,3,5,36,Manufacturing,4,Increase,Good
20,EMP3081,Neutral,Weekly,Female,Remote,No,11,5,1,40,Healthcare,4,Decrease,Good
37,EMP3082,Neutral,Weekly,Male,Remote,No,3,5,2,33,Consulting,4,Decrease,Good
36,EMP3083,Neutral,Daily,Male,Hybrid,Yes,13,3,1,43,Education,4,Decrease,Poor
32,EMP3084,Neutral,Weekly,Prefer not to say,Hybrid,Yes,4,4,5,41,Manufacturing,4,Decrease,Poor
35,EMP3085,Unsatisfied,Daily,Female,Onsite,No,11,2,5,53,Retail,3,Decrease,Average
49,EMP3086,Unsatisfied,None,Prefer not to say,Hybrid,No,0,2,2,59,Finance,2,Increase,Poor
50,EMP3087,Neutral,Daily,Female,Hybrid,No,1,4,3,27,Finance,5,Decrease,Good
57,EMP3088,Neutral,Daily,Non-binary,Hybrid,No,15,1,4,42,Education,5,No Change,Average
59,EMP3089,Unsatisfied,None,Male,Onsite,Yes,12,3,5,46,Finance,5,No Change,Poor
44,EMP3090,Satisfied,None,Female,Hybrid,No,7,2,4,47,Finance,1,Increase,Poor
55,EMP3091,Unsatisfied,None,Male,Hybrid,Yes,12,2,1,34,Education,3,Decrease,Poor
45,EMP3092,Neutral,None,Male,Remote,Yes,15,4,5,50,Retail,4,Decrease,Average
53,EMP3093,Neutral,None,Male,Onsite,No,8,2,1,28,IT,2,Decrease,Good
24,EMP3094,Satisfied,Weekly,Non-binary,Hybrid,Yes,7,2,5,45,IT,4,Decrease,Average
36,EMP3095,Satisfied,Daily,Female,Onsite,No,5,3,3,40,Education,1,Increase,Good
37,EMP3096,Satisfied,None,Male,Hybrid,Yes,6,1,4,35,Consulting,1,No Change,Average
55,EMP3097,Neutral,Weekly,Prefer not to say,Onsite,Yes,4,2,4,32,Education,3,No Change,Average
29,EMP3098,Satisfied,None,Female,Onsite,No,6,1,1,45,Manufacturing,3,Increase,Good
42,EMP3099,Neutral,None,Male,Remote,No,11,2,5,22,Manufacturing,5,Decrease,Poor
35,EMP3100,Neutral,None,Prefer not to say,Hybrid,Yes,5,1,2,44,Consulting,3,Increase,Average
26,EMP3101,Neutral,None,Female,Onsite,No,7,2,2,54,Education,3,Decrease,Average
36,EMP3102,Satisfied,None,Prefer not to say,Remote,No,14,1,3,52,IT,3,Increase,Good
35,EMP3103,Neutral,Weekly,Female,Remote,No,13,3,3,35,IT,5,Decrease,Good
28,EMP3104,Satisfied,Weekly,Non-binary,Remote,Yes,8,2,2,35,Manufacturing,4,Increase,Poor
47,EMP3105,Neutral,Weekly,Non-binary,Onsite,Yes,10,1,2,51,Retail,3,No Change,Good
52,EMP3106,Unsatisfied,Daily,Non-binary,Onsite,No,4,2,4,41,Healthcare,2,Increase,Good
55,EMP3107,Unsatisfied,Daily,Non-binary,Hybrid,Yes,5,4,2,26,Consulting,4,Decrease,Poor
26,EMP3108,Neutral,Weekly,Male,Remote,No,10,5,2,29,IT,2,Increase,Average
32,EMP3109,Neutral,Weekly,Male,Onsite,No,6,3,2,27,Healthcare,3,No Change,Good
26,EMP3110,Unsatisfied,None,Male,Hybrid,Yes,3,2,2,39,Retail,1,Decrease,Average
36,EMP3111,Unsatisfied,Weekly,Male,Hybrid,No,10,1,1,29,Retail,2,No Change,Average
37,EMP3112,Neutral,Weekly,Prefer not to say,Remote,Yes,10,3,4,28,Consulting,1,Increase,Poor
55,EMP3113,Satisfied,Weekly,Non-binary,Onsite,Yes,9,4,1,48,Retail,3,No Change,Good
46,EMP3114,Unsatisfied,Daily,Non-binary,Hybrid,No,3,5,4,22,Manufacturing,2,No Change,Good
21,EMP3115,Unsatisfied,None,Female,Hybrid,No,0,3,2,38,Finance,4,Decrease,Average
47,EMP3116,Unsatisfied,Weekly,Male,Remote,Yes,11,1,3,34,Manufacturing,1,Decrease,Poor
33,EMP3117,Unsatisfied,Weekly,Female,Hybrid,Yes,5,5,3,36,Healthcare,1,Decrease,Average
48,EMP3118,Unsatisfied,Daily,Male,Hybrid,Yes,7,3,3,47,Retail,1,Increase,Good
47,EMP3119,Neutral,Daily,Female,Onsite,Yes,0,3,4,41,IT,1,Increase,Average
37,EMP3120,Neutral,Weekly,Prefer not to say,Onsite,Yes,11,2,2,42,Healthcare,1,No Change,Poor
28,EMP3121,Satisfied,Weekly,Male,Hybrid,No,0,1,5,22,Manufacturing,2,Increase,Poor
31,EMP3122,Unsatisfied,Weekly,Male,Hybrid,No,3,1,1,48,IT,2,Increase,Poor
56,EMP3123,Satisfied,Daily,Female,Onsite,No,9,1,5,28,Consulting,1,No Change,Average
50,EMP3124,Unsatisfied,Daily,Prefer not to say,Remote,No,15,2,3,22,IT,2,Decrease,Good
59,EMP3125,Neutral,Daily,Male,Hybrid,Yes,7,2,1,58,IT,4,No Change,Average
53,EMP3126,Unsatisfied,Weekly,Male,Hybrid,No,0,5,1,37,Finance,3,Increase,Good
48,EMP3127,Neutral,Daily,Non-binary,Remote,No,15,2,2,58,Consulting,1,Increase,Average
45,EMP3128,Satisfied,Daily,Female,Onsite,No,10,3,4,47,Consulting,1,Increase,Poor
46,EMP3129,Neutral,None,Prefer not to say,Remote,No,11,5,1,40,IT,4,Increase,Poor
28,EMP3130,Satisfied,None,Female,Onsite,Yes,0,1,1,54,Consulting,4,Decrease,Poor
50,EMP3131,Neutral,None,Prefer not to say,Onsite,No,3,1,1,54,Retail,1,Increase,Good
21,EMP3132,Neutral,Daily,Female,Hybrid,Yes,7,2,4,34,Education,4,Increase,Good
40,EMP3133,Unsatisfied,None,Female,Remote,Yes,8,5,4,49,Manufacturing,1,No Change,Good
32,EMP3134,Unsatisfied,Weekly,Female,Remote,No,11,3,4,53,Manufacturing,4,No Change,Good
54,EMP3135,Neutral,Weekly,Male,Remote,Yes,4,2,3,38,Education,4,Decrease,Average
30,EMP3136,Unsatisfied,Daily,Non-binary,Hybrid,Yes,13,4,2,47,Education,2,Decrease,Average
48,EMP3137,Neutral,Weekly,Non-binary,Onsite,Yes,4,1,4,41,IT,3,Decrease,Poor
33,EMP3138,Unsatisfied,None,Non-binary,Onsite,Yes,14,3,4,54,Consulting,2,Increase,Good
23,EMP3139,Unsatisfied,None,Non-binary,Hybrid,No,8,4,5,22,Consulting,4,Increase,Poor
38,EMP3140,Satisfied,Daily,Male,Onsite,No,2,1,1,47,Education,2,Decrease,Average
23,EMP3141,Unsatisfied,Daily,Prefer not to say,Remote,Yes,6,1,4,58,Retail,2,No Change,Good
49,EMP3142,Unsatisfied,None,Prefer not to say,Hybrid,Yes,4,3,1,39,Healthcare,5,No Change,Poor
42,EMP3143,Satisfied,None,Prefer not to say,Onsite,No,5,1,3,24,Education,1,Increase,Good
26,EMP3144,Satisfied,None,Female,Hybrid,No,1,5,4,38,IT,3,Increase,Average
60,EMP3145,Satisfied,None,Male,Remote,Yes,6,3,4,27,Retail,1,Decrease,Good
28,EMP3146,Neutral,Daily,Female,Remote,Yes,5,5,5,46,Education,1,No Change,Average
24,EMP3147,Neutral,None,Male,Onsite,Yes,5,3,1,39,IT,3,Increase,Average
21,EMP3148,Satisfied,Daily,Female,Hybrid,Yes,10,3,4,30,Manufacturing,2,Increase,Good
60,EMP3149,Satisfied,Daily,Female,Remote,Yes,14,4,2,57,IT,5,Increase,Good
50,EMP3150,Unsatisfied,None,Male,Onsite,No,5,2,3,36,IT,4,Decrease,Good
26,EMP3151,Unsatisfied,None,Non-binary,Onsite,Yes,7,4,4,51,Retail,2,Increase,Average
44,EMP3152,Satisfied,Weekly,Female,Onsite,No,13,1,2,31,Education,2,Decrease,Good
40,EMP3153,Satisfied,None,Prefer not to say,Onsite,No,0,2,4,25,Healthcare,1,Increase,Poor
23,EMP3154,Unsatisfied,Daily,Non-binary,Remote,Yes,8,4,5,58,Education,1,No Change,Good
55,EMP3155,Satisfied,Daily,Prefer not to say,Hybrid,No,7,1,2,52,Consulting,4,Increase,Poor
41,EMP3156,Unsatisfied,Weekly,Prefer not to say,Onsite,No,2,2,5,22,IT,5,Decrease,Good
56,EMP3157,Unsatisfied,Weekly,Non-binary,Onsite,No,4,1,4,23,Retail,2,Decrease,Poor
39,EMP3158,Unsatisfied,None,Prefer not to say,Onsite,No,12,5,2,28,Healthcare,1,No Change,Poor
42,EMP3159,Satisfied,Daily,Non-binary,Remote,No,8,3,3,31,Finance,3,No Change,Average
51,EMP3160,Satisfied,Weekly,Non-binary,Remote,No,4,4,2,36,Education,3,Decrease,Average
52,EMP3161,Neutral,Daily,Female,Hybrid,Yes,12,2,4,48,Manufacturing,1,Increase,Average
49,EMP3162,Satisfied,None,Female,Hybrid,Yes,2,4,3,23,Education,2,Decrease,Good
53,EMP3163,Satisfied,None,Non-binary,Onsite,No,3,5,2,34,Healthcare,3,Increase,Good
50,EMP3164,Satisfied,None,Male,Onsite,No,15,4,3,47,IT,1,No Change,Average
57,EMP3165,Neutral,None,Male,Onsite,Yes,11,1,3,25,Education,2,Decrease,Poor
55,EMP3166,Satisfied,None,Prefer not to say,Hybrid,No,10,2,4,45,Consulting,4,Increase,Poor
53,EMP3167,Neutral,None,Male,Remote,No,12,4,1,25,Retail,5,Increase,Poor
24,EMP3168,Unsatisfied,Weekly,Female,Hybrid,Yes,12,3,3,58,Education,3,Decrease,Poor
