Job_Role,Industry,Ag,Mental_Health_Condition,Stress_Level,Years_of_Experience,Work_Location,Region,Employee_ID,Number_of_Virtual_Meetings,R_Satisfaction_with_Remote_Work,Work_Life_Balance_Rating,Hours_Worked_Per_Week,Productivity_Change
HR,IT,41,Burnout,High,26,Remote,Asia,EMP2351,0,Unsatisfied,5,60,No Change
Marketing,Finance,53,Depression,Low,14,Remote,Africa,EMP2352,0,Neutral,2,38,Increase
Project Manager,Retail,22,Burnout,Low,28,Hybrid,Asia,EMP2353,5,Neutral,2,58,Increase
Marketing,Consulting,59,None,Low,14,Remote,Africa,EMP2354,2,Unsatisfied,2,46,No Change
HR,Retail,32,Anxiety,Low,15,Hybrid,North America,EMP2355,13,Unsatisfied,1,30,Decrease
Marketing,IT,37,None,Low,31,Onsite,Asia,EMP2356,14,Satisfied,5,23,Decrease
HR,Healthcare,51,Burnout,Low,27,Hybrid,Asia,EMP2357,0,Unsatisfied,4,50,Decrease
Software Engineer,Education,56,None,Low,3,Remote,Asia,EMP2358,0,Neutral,5,44,Decrease
Designer,Retail,42,Anxiety,High,29,Remote,Europe,EMP2359,9,Neutral,5,29,No Change
Designer,Consulting,42,None,Medium,12,Remote,North America,EMP2360,10,Unsatisfied,1,25,Decrease
HR,Consulting,24,None,Low,31,Remote,Asia,EMP2361,10,Unsatisfied,5,40,Decrease
Sales,Retail,34,Anxiety,Low,7,Onsite,Asia,EMP2362,3,Satisfied,4,38,Decrease
Software Engineer,Finance,33,None,Low,24,Onsite,Europe,EMP2363,7,Satisfied,3,53,No Change
Project Manager,Retail,51,Depression,Low,21,Hybrid,Europe,EMP2364,11,Unsatisfied,5,33,Decrease
HR,IT,32,Anxiety,High,22,Remote,Oceania,EMP2365,6,Unsatisfied,4,48,No Change
HR,Healthcare,48,Burnout,Medium,17,Hybrid,South America,EMP2366,9,Satisfied,1,30,No Change
Data Scientist,Education,22,Burnout,High,17,Hybrid,Africa,EMP2367,4,Satisfied,3,56,Increase
HR,Finance,58,Burnout,Medium,13,Hybrid,North America,EMP2368,11,Unsatisfied,2,25,Decrease
Data Scientist,Retail,32,Burnout,High,11,Remote,Asia,EMP2369,12,Satisfied,3,35,No Change
HR,IT,43,Depression,Medium,7,Remote,North America,EMP2370,14,Unsatisfied,1,43,No Change
Software Engineer,Consulting,43,Depression,High,24,Onsite,North America,EMP2371,6,Neutral,4,48,Increase
Designer,Finance,56,Anxiety,Medium,27,Hybrid,Asia,EMP2372,7,Unsatisfied,5,28,Increase
Software Engineer,IT,39,Anxiety,High,32,Onsite,Africa,EMP2373,14,Unsatisfied,2,20,Increase
Sales,Education,35,Depression,High,23,Hybrid,Africa,EMP2374,11,Satisfied,5,29,Decrease
Sales,Healthcare,40,Depression,Medium,2,Hybrid,Africa,EMP2375,0,Unsatisfied,1,44,Decrease
Sales,IT,28,Burnout,High,22,Onsite,Europe,EMP2376,6,Satisfied,5,28,No Change
Project Manager,Manufacturing,24,Anxiety,Low,8,Onsite,South America,EMP2377,5,Unsatisfied,4,33,No Change
HR,Retail,53,Depression,Low,33,Hybrid,Asia,EMP2378,4,Neutral,3,32,No Change
Sales,Healthcare,29,Anxiety,High,33,Remote,South America,EMP2379,12,Unsatisfied,1,27,Decrease
Software Engineer,Education,23,Burnout,High,1,Hybrid,South America,EMP2380,7,Neutral,2,27,Increase
HR,Finance,36,None,Medium,22,Remote,North America,EMP2381,14,Unsatisfied,3,43,Decrease
Sales,Education,36,Burnout,High,2,Remote,South America,EMP2382,12,Unsatisfied,5,54,Decrease
Software Engineer,IT,57,Anxiety,Low,17,Hybrid,North America,EMP2383,6,Neutral,5,28,Decrease
Project Manager,Finance,40,Anxiety,Low,27,Hybrid,North America,EMP2384,5,Neutral,1,43,No Change
Project Manager,Manufacturing,58,Anxiety,Medium,34,Remote,Oceania,EMP2385,3,Unsatisfied,4,25,Decrease
Sales,IT,23,Anxiety,High,21,Remote,Africa,EMP2386,6,Neutral,5,46,Increase
Designer,Education,43,Burnout,Low,33,Remote,Africa,EMP2387,14,Satisfied,3,34,No Change
HR,Education,59,None,Medium,15,Onsite,Europe,EMP2388,14,Satisfied,2,27,Increase
Marketing,IT,48,Depression,Low,13,Onsite,Europe,EMP2389,3,Unsatisfied,3,27,Decrease
Marketing,Retail,38,None,Medium,11,Hybrid,Africa,EMP2390,11,Unsatisfied,4,21,Increase
Project Manager,Finance,56,None,High,2,Remote,Oceania,EMP2391,7,Unsatisfied,2,20,No Change
Project Manager,Finance,29,None,Low,12,Remote,North America,EMP2392,2,Neutral,2,42,Increase
Software Engineer,Retail,37,Depression,Medium,10,Remote,Oceania,EMP2393,0,Unsatisfied,4,35,Increase
Project Manager,IT,32,Anxiety,Low,24,Onsite,Europe,EMP2394,4,Satisfied,3,60,No Change
Designer,Finance,43,Burnout,High,30,Remote,Asia,EMP2395,15,Neutral,5,24,Decrease
Project Manager,Retail,43,None,Low,25,Remote,Europe,EMP2396,10,Satisfied,3,58,Decrease
HR,IT,25,Anxiety,Medium,21,Remote,Africa,EMP2397,13,Unsatisfied,3,26,Decrease
Project Manager,Consulting,29,Burnout,Low,30,Remote,Africa,EMP2398,0,Unsatisfied,1,34,Decrease
HR,Retail,59,Burnout,Medium,27,Hybrid,Europe,EMP2399,15,Unsatisfied,3,53,Decrease
Software Engineer,Healthcare,33,Depression,Low,31,Remote,Africa,EMP2400,8,Neutral,5,44,No Change
HR,Retail,22,Depression,Medium,6,Remote,North America,EMP2401,14,Unsatisfied,5,48,No Change
Marketing,IT,45,Depression,Low,27,Remote,Oceania,EMP2402,11,Satisfied,4,33,Increase
Sales,Education,24,Burnout,Low,24,Onsite,Europe,EMP2403,2,Satisfied,2,33,Increase
Sales,Healthcare,28,Anxiety,Medium,11,Onsite,Asia,EMP2404,7,Neutral,3,45,No Change
Software Engineer,Education,29,None,Medium,14,Hybrid,Europe,EMP2405,8,Unsatisfied,1,23,No Change
Software Engineer,Retail,56,None,Low,22,Onsite,North America,EMP2406,6,Satisfied,2,52,No Change
Data Scientist,Finance,59,Anxiety,Medium,24,Remote,South America,EMP2407,3,Satisfied,3,48,Increase
Data Scientist,Education,24,Burnout,High,5,Remote,Oceania,EMP2408,2,Satisfied,3,42,Decrease
Project Manager,IT,26,Anxiety,Medium,12,Remote,Asia,EMP2409,6,Satisfied,5,49,Increase
HR,Education,59,Anxiety,High,12,Onsite,Europe,EMP2410,12,Unsatisfied,1,24,Increase
Sales,Healthcare,41,None,High,30,Hybrid,Europe,EMP2411,3,Unsatisfied,4,59,No Change
HR,Manufacturing,40,Burnout,High,7,Remote,Oceania,EMP2412,0,Unsatisfied,1,48,Decrease
Sales,Finance,48,None,Medium,27,Onsite,South America,EMP2413,8,Neutral,3,55,Increase
Marketing,Manufacturing,60,Burnout,Medium,26,Remote,Oceania,EMP2414,13,Neutral,3,56,Increase
Software Engineer,Finance,32,None,Medium,7,Remote,Europe,EMP2415,10,Satisfied,5,47,No Change
Sales,Healthcare,55,Depression,Medium,9,Remote,North America,EMP2416,13,Neutral,2,49,No Change
Designer,Education,52,Depression,Medium,33,Remote,Asia,EMP2417,1,Neutral,1,42,Decrease
Designer,Education,40,Burnout,High,33,Onsite,South America,EMP2418,14,Unsatisfied,3,57,Decrease
Software Engineer,Manufacturing,56,Depression,High,19,Onsite,North America,EMP2419,1,Satisfied,2,32,No Change
HR,Consulting,28,Depression,Medium,34,Hybrid,Africa,EMP2420,12,Neutral,1,28,Decrease
Data Scientist,Manufacturing,43,Depression,Medium,16,Remote,South America,EMP2421,10,Unsatisfied,3,24,No Change
Sales,Consulting,53,None,High,9,Hybrid,South America,EMP2422,7,Neutral,3,32,No Change
Marketing,Consulting,45,Burnout,Low,32,Hybrid,Europe,EMP2423,4,Neutral,5,20,No Change
HR,Finance,39,Anxiety,High,26,Hybrid,Europe,EMP2424,10,Unsatisfied,5,24,No Change
Software Engineer,Education,57,Anxiety,High,29,Remote,Asia,EMP2425,0,Satisfied,3,52,Decrease
Sales,Healthcare,24,Depression,Medium,13,Onsite,Africa,EMP2426,7,Satisfied,3,53,No Change
Software Engineer,Manufacturing,27,None,Medium,11,Onsite,South America,EMP2427,14,Satisfied,3,43,No Change
Designer,Finance,40,Burnout,Low,33,Onsite,Asia,EMP2428,6,Unsatisfied,2,56,Increase
Designer,Healthcare,27,None,High,13,Remote,Asia,EMP2429,14,Neutral,4,43,Increase
Sales,Retail,22,Depression,Medium,13,Remote,South America,EMP2430,11,Satisfied,3,40,Decrease
Designer,IT,33,None,High,14,Hybrid,Asia,EMP2431,14,Neutral,3,22,Increase
Software Engineer,Retail,48,Burnout,Medium,31,Hybrid,Asia,EMP2432,9,Satisfied,3,45,Decrease
Marketing,Retail,24,Anxiety,Low,17,Remote,Asia,EMP2433,5,Satisfied,2,21,Increase
Data Scientist,Manufacturing,58,Anxiety,Low,26,Remote,Oceania,EMP2434,8,Satisfied,5,36,No Change
Designer,IT,34,Anxiety,Low,30,Hybrid,Asia,EMP2435,10,Unsatisfied,5,42,Decrease
Project Manager,Finance,50,Burnout,High,17,Hybrid,Oceania,EMP2436,4,Neutral,4,42,No Change
HR,Education,23,Burnout,Medium,26,Hybrid,Europe,EMP2437,13,Satisfied,2,42,No Change
Project Manager,IT,28,Burnout,Low,14,Hybrid,Africa,EMP2438,9,Satisfied,2,45,Increase
Data Scientist,Retail,57,Anxiety,Medium,27,Hybrid,Africa,EMP2439,15,Satisfied,1,59,Increase
Sales,Finance,26,Anxiety,Low,26,Onsite,Africa,EMP2440,8,Satisfied,5,32,Increase
Marketing,Consulting,44,None,High,14,Hybrid,South America,EMP2441,14,Unsatisfied,1,47,Increase
Sales,Retail,59,Depression,High,10,Onsite,South America,EMP2442,0,Neutral,5,44,No Change
Sales,Healthcare,56,Burnout,High,21,Remote,North America,EMP2443,10,Unsatisfied,4,49,Decrease
Designer,Manufacturing,45,None,High,31,Remote,North America,EMP2444,8,Unsatisfied,3,58,Decrease
Marketing,Healthcare,22,Depression,Medium,20,Hybrid,Oceania,EMP2445,10,Satisfied,4,25,No Change
Software Engineer,Healthcare,38,Anxiety,Low,27,Hybrid,North America,EMP2446,2,Satisfied,5,40,Increase
Designer,Healthcare,43,Burnout,High,1,Hybrid,Asia,EMP2447,8,Satisfied,5,27,Increase
Data Scientist,Retail,52,Anxiety,High,12,Remote,Africa,EMP2448,0,Satisfied,1,44,Decrease
Data Scientist,Retail,30,Depression,High,20,Remote,South America,EMP2449,7,Unsatisfied,5,57,Decrease
HR,IT,40,Anxiety,Medium,21,Onsite,Africa,EMP2450,5,Neutral,5,60,Decrease
Project Manager,Retail,32,None,High,26,Hybrid,South America,EMP2451,14,Satisfied,2,53,Decrease
Sales,Consulting,59,None,Low,9,Remote,South America,EMP2452,8,Satisfied,3,27,No Change
Designer,Retail,32,Depression,Medium,12,Hybrid,South America,EMP2453,12,Unsatisfied,2,28,No Change
Marketing,Healthcare,53,Depression,High,2,Hybrid,Africa,EMP2454,13,Satisfied,5,37,Decrease
Designer,Education,46,None,High,22,Onsite,Africa,EMP2455,13,Unsatisfied,2,36,No Change
Software Engineer,Manufacturing,22,Burnout,High,18,Onsite,North America,EMP2456,5,Neutral,2,22,Decrease
Project Manager,Manufacturing,48,None,High,33,Remote,North America,EMP2457,15,Unsatisfied,1,46,No Change
Software Engineer,Manufacturing,43,Burnout,Medium,18,Onsite,South America,EMP2458,3,Satisfied,1,59,Increase
Marketing,IT,56,None,Low,34,Onsite,Oceania,EMP2459,8,Satisfied,3,24,Decrease
Marketing,Finance,59,Depression,Medium,26,Hybrid,Asia,EMP2460,7,Neutral,5,47,Decrease
Software Engineer,IT,30,Anxiety,Medium,1,Hybrid,Africa,EMP2461,0,Neutral,3,36,No Change
Data Scientist,Finance,45,Depression,High,15,Remote,Asia,EMP2462,0,Unsatisfied,2,46,Decrease
Sales,Finance,35,None,Medium,7,Remote,Europe,EMP2463,10,Satisfied,2,53,No Change
Software Engineer,IT,30,Burnout,Medium,4,Hybrid,Europe,EMP2464,14,Unsatisfied,3,57,Increase
Marketing,Healthcare,33,Burnout,High,25,Remote,Asia,EMP2465,11,Unsatisfied,3,49,Decrease
HR,Finance,54,Anxiety,Low,24,Hybrid,Europe,EMP2466,5,Satisfied,1,54,No Change
Data Scientist,Retail,60,Burnout,Medium,33,Remote,Asia,EMP2467,7,Satisfied,4,23,No Change
HR,Manufacturing,51,Anxiety,Medium,6,Remote,Africa,EMP2468,6,Satisfied,4,23,Increase
Sales,Healthcare,55,None,High,26,Hybrid,Europe,EMP2469,12,Unsatisfied,5,45,Increase
Project Manager,Retail,41,Anxiety,High,31,Remote,Europe,EMP2470,12,Satisfied,2,21,Increase
Project Manager,Finance,30,Depression,High,10,Onsite,South America,EMP2471,2,Satisfied,2,36,Increase
Software Engineer,Retail,44,Anxiety,High,13,Onsite,Africa,EMP2472,7,Unsatisfied,3,52,No Change
Data Scientist,Healthcare,48,Anxiety,Medium,26,Onsite,Oceania,EMP2473,0,Satisfied,3,50,Increase
Data Scientist,Finance,56,Burnout,Low,17,Onsite,North America,EMP2474,15,Satisfied,4,45,No Change
Designer,IT,43,Burnout,Low,19,Hybrid,South America,EMP2475,11,Unsatisfied,5,52,Decrease
Software Engineer,Manufacturing,37,None,High,8,Remote,Asia,EMP2476,3,Neutral,2,49,Increase
Sales,IT,36,Burnout,Low,8,Remote,Europe,EMP2477,3,Neutral,5,23,Decrease
Marketing,IT,45,Burnout,High,6,Hybrid,North America,EMP2478,11,Neutral,3,60,Decrease
HR,Consulting,23,Burnout,Medium,11,Remote,Oceania,EMP2479,13,Satisfied,3,49,Increase
Sales,Finance,57,Anxiety,Medium,25,Hybrid,North America,EMP2480,0,Satisfied,1,34,No Change
Software Engineer,Education,43,None,Low,11,Hybrid,South America,EMP2481,12,Satisfied,2,31,Decrease
HR,IT,59,Depression,Low,9,Hybrid,Asia,EMP2482,8,Neutral,1,56,Decrease
Project Manager,Finance,49,Burnout,Medium,5,Remote,Oceania,EMP2483,7,Unsatisfied,1,51,Decrease
Data Scientist,Finance,24,Depression,Low,28,Hybrid,Africa,EMP2484,15,Unsatisfied,1,20,No Change
HR,Education,43,Anxiety,Low,7,Remote,North America,EMP2485,2,Neutral,2,48,Increase
Marketing,Healthcare,50,Burnout,Low,17,Hybrid,Oceania,EMP2486,0,Neutral,1,54,No Change
Marketing,Finance,37,Burnout,Medium,33,Onsite,North America,EMP2487,6,Unsatisfied,2,36,Increase
Software Engineer,Healthcare,48,Depression,Low,7,Remote,Oceania,EMP2488,9,Satisfied,5,36,No Change
Project Manager,Consulting,28,None,Medium,18,Hybrid,Europe,EMP2489,15,Neutral,1,39,No Change
Sales,Consulting,48,Depression,Low,30,Hybrid,North America,EMP2490,14,Neutral,5,49,Decrease
Software Engineer,Healthcare,45,Anxiety,High,31,Hybrid,Europe,EMP2491,12,Neutral,1,53,No Change
Marketing,Healthcare,42,None,Medium,9,Hybrid,Asia,EMP2492,15,Satisfied,3,50,Decrease
HR,Healthcare,56,Burnout,Medium,12,Remote,Asia,EMP2493,9,Unsatisfied,2,37,Decrease
Designer,Healthcare,42,Depression,Medium,9,Remote,Asia,EMP2494,5,Unsatisfied,5,40,Decrease
Project Manager,Education,45,Depression,Low,16,Onsite,South America,EMP2495,0,Satisfied,2,42,No Change
Data Scientist,IT,31,Anxiety,High,20,Onsite,Asia,EMP2496,0,Unsatisfied,1,48,Increase
Software Engineer,Education,55,Anxiety,Low,15,Onsite,Oceania,EMP2497,15,Unsatisfied,3,41,No Change
Project Manager,IT,47,Burnout,Low,19,Onsite,South America,EMP2498,7,Neutral,3,27,Increase
Data Scientist,Healthcare,56,Depression,Medium,18,Remote,Oceania,EMP2499,13,Neutral,2,21,Increase
Marketing,Finance,56,Depression,Low,21,Hybrid,Oceania,EMP2500,8,Satisfied,2,48,No Change
Project Manager,Retail,34,Depression,Medium,23,Remote,Europe,EMP2501,0,Neutral,1,48,No Change
Sales,Education,57,None,High,32,Hybrid,Asia,EMP2502,3,Satisfied,2,32,Increase
HR,Consulting,22,Depression,Medium,26,Hybrid,South America,EMP2503,14,Neutral,3,49,Decrease
Project Manager,Retail,57,Depression,Medium,25,Hybrid,Oceania,EMP2504,0,Neutral,3,44,Increase
Designer,Education,37,Depression,High,26,Remote,Oceania,EMP2505,7,Satisfied,5,23,No Change
Sales,IT,40,Anxiety,Medium,25,Onsite,Oceania,EMP2506,3,Unsatisfied,2,34,No Change
Sales,Healthcare,30,Depression,Low,16,Remote,South America,EMP2507,2,Neutral,2,50,Decrease
Marketing,IT,55,None,Medium,32,Onsite,Asia,EMP2508,7,Satisfied,5,35,Decrease
Project Manager,IT,49,Anxiety,Medium,27,Onsite,Oceania,EMP2509,15,Unsatisfied,1,35,No Change
Software Engineer,Retail,24,None,High,6,Onsite,South America,EMP2510,6,Neutral,1,43,Increase
Sales,Healthcare,56,None,Low,27,Remote,Asia,EMP2511,15,Satisfied,1,20,No Change
Project Manager,Consulting,23,Depression,Medium,26,Onsite,Asia,EMP2512,9,Unsatisfied,4,29,Increase
Software Engineer,Manufacturing,28,Burnout,High,26,Hybrid,Europe,EMP2513,9,Neutral,5,26,Decrease
Marketing,Consulting,29,None,High,6,Remote,North America,EMP2514,1,Neutral,1,38,Decrease
HR,IT,31,Depression,Medium,24,Remote,South America,EMP2515,11,Unsatisfied,3,57,Decrease
Sales,Healthcare,27,Depression,High,23,Hybrid,North America,EMP2516,3,Satisfied,3,58,No Change
Software Engineer,Education,26,Depression,High,33,Remote,Africa,EMP2517,5,Satisfied,4,29,Increase
Data Scientist,Retail,56,Depression,Low,20,Remote,Oceania,EMP2518,3,Satisfied,5,53,Decrease
HR,Manufacturing,37,Anxiety,Low,5,Onsite,Asia,EMP2519,4,Unsatisfied,5,41,Decrease
Software Engineer,Finance,40,Burnout,Medium,34,Remote,Africa,EMP2520,1,Neutral,4,48,No Change
Data Scientist,Healthcare,30,Depression,Low,25,Remote,Oceania,EMP2521,15,Satisfied,3,20,Increase
HR,Education,36,Burnout,Medium,13,Hybrid,Europe,EMP2522,9,Neutral,3,44,No Change
Project Manager,IT,33,Burnout,High,4,Hybrid,Europe,EMP2523,5,Unsatisfied,5,33,No Change
HR,Healthcare,55,Depression,High,2,Remote,Europe,EMP2524,9,Satisfied,5,41,Increase
Designer,Manufacturing,39,Burnout,High,13,Hybrid,Asia,EMP2525,2,Neutral,5,30,Increase
Software Engineer,Finance,25,None,Low,25,Remote,Asia,EMP2526,15,Neutral,3,21,Decrease
Marketing,Manufacturing,27,Burnout,High,29,Onsite,North America,EMP2527,8,Unsatisfied,3,22,No Change
HR,Consulting,54,Depression,Low,31,Hybrid,South America,EMP2528,2,Unsatisfied,1,32,Increase
HR,IT,35,Anxiety,Medium,31,Onsite,North America,EMP2529,15,Neutral,5,59,No Change
Designer,Finance,43,Burnout,Medium,17,Hybrid,Asia,EMP2530,14,Neutral,2,22,No Change
Designer,Manufacturing,52,None,High,19,Hybrid,South America,EMP2531,8,Neutral,5,50,No Change
Sales,Finance,34,None,High,27,Hybrid,South America,EMP2532,2,Unsatisfied,1,49,Decrease
Data Scientist,Healthcare,33,None,Low,6,Remote,South America,EMP2533,12,Unsatisfied,4,24,No Change
Marketing,Retail,47,Burnout,Low,17,Remote,Europe,EMP2534,8,Unsatisfied,3,49,Increase
Designer,Healthcare,49,Depression,Low,12,Onsite,Africa,EMP2535,13,Neutral,4,33,No Change
Software Engineer,IT,55,Anxiety,Medium,16,Remote,Asia,EMP2536,11,Satisfied,2,27,Decrease
Project Manager,Retail,32,Depression,Medium,11,Hybrid,Oceania,EMP2537,8,Satisfied,2,29,Increase
HR,Education,56,Depression,Medium,30,Remote,Europe,EMP2538,10,Neutral,4,30,No Change
Sales,Education,22,Burnout,Low,25,Onsite,North America,EMP2539,8,Satisfied,3,24,Decrease
Marketing,Retail,42,Depression,High,22,Onsite,South America,EMP2540,2,Neutral,5,35,Increase
Software Engineer,Manufacturing,23,None,High,26,Onsite,Africa,EMP2541,11,Unsatisfied,1,25,Increase
Designer,Education,23,None,Low,34,Onsite,Europe,EMP2542,12,Satisfied,5,31,Decrease
Software Engineer,Retail,40,Burnout,Medium,24,Hybrid,Africa,EMP2543,4,Satisfied,2,57,No Change
Data Scientist,Healthcare,54,Burnout,Medium,21,Remote,Europe,EMP2544,7,Unsatisfied,2,27,Increase
Marketing,Education,49,Anxiety,High,29,Hybrid,Africa,EMP2545,7,Neutral,1,25,No Change
Software Engineer,Retail,58,Depression,High,8,Onsite,North America,EMP2546,2,Neutral,2,47,Decrease
Sales,Education,60,Depression,Low,28,Onsite,Oceania,EMP2547,12,Unsatisfied,5,22,Increase
Sales,Education,25,Burnout,Medium,22,Hybrid,South America,EMP2548,13,Unsatisfied,2,39,Decrease
Designer,Consulting,53,Depression,Medium,1,Hybrid,Asia,EMP2549,4,Neutral,2,47,Decrease
Software Engineer,Education,48,Depression,Low,9,Remote,Europe,EMP2550,13,Satisfied,2,50,No Change
Designer,Retail,34,Anxiety,High,17,Remote,Oceania,EMP2551,12,Satisfied,2,20,Increase
Sales,Manufacturing,39,Anxiety,High,3,Onsite,Oceania,EMP2552,7,Satisfied,5,42,No Change
Designer,Manufacturing,24,Anxiety,High,3,Remote,Africa,EMP2553,1,Unsatisfied,5,27,Increase
HR,Consulting,27,Anxiety,Low,28,Remote,Oceania,EMP2554,15,Neutral,3,45,Decrease
Data Scientist,Manufacturing,23,Burnout,Low,25,Onsite,Africa,EMP2555,2,Satisfied,2,28,Increase
Software Engineer,Finance,37,None,High,18,Remote,Oceania,EMP2556,14,Unsatisfied,1,47,Increase
Data Scientist,IT,23,Burnout,High,1,Onsite,North America,EMP2557,0,Satisfied,4,39,No Change
Marketing,IT,36,Burnout,Low,21,Onsite,Europe,EMP2558,6,Satisfied,1,37,Increase
Sales,Finance,27,Depression,Medium,32,Onsite,Oceania,EMP2559,15,Neutral,1,34,No Change
Designer,Education,39,Depression,Medium,26,Remote,North America,EMP2560,4,Neutral,3,47,No Change
Data Scientist,Retail,51,Burnout,High,1,Onsite,North America,EMP2561,13,Neutral,4,24,Decrease
Data Scientist,Consulting,47,None,Low,22,Onsite,Oceania,EMP2562,14,Neutral,2,27,Increase
Data Scientist,Consulting,30,Burnout,High,29,Onsite,South America,EMP2563,4,Satisfied,4,23,Decrease
Project Manager,IT,47,Burnout,Medium,6,Onsite,South America,EMP2564,10,Neutral,2,52,No Change
Designer,Healthcare,48,Burnout,High,5,Remote,Africa,EMP2565,13,Neutral,3,31,Decrease
Project Manager,IT,42,Burnout,Medium,5,Onsite,Asia,EMP2566,2,Neutral,3,39,No Change
Sales,Healthcare,51,None,High,3,Remote,Asia,EMP2567,0,Satisfied,1,54,Decrease
HR,Finance,35,Burnout,High,7,Onsite,Europe,EMP2568,15,Satisfied,1,46,Increase
Project Manager,Retail,33,Anxiety,Medium,9,Hybrid,North America,EMP2569,0,Unsatisfied,5,59,Decrease
Data Scientist,Consulting,54,Burnout,Medium,2,Hybrid,Africa,EMP2570,1,Unsatisfied,4,32,No Change
Sales,IT,45,Burnout,Medium,15,Onsite,Africa,EMP2571,2,Satisfied,4,26,Increase
Marketing,Retail,46,Anxiety,Medium,8,Onsite,Europe,EMP2572,3,Unsatisfied,1,37,Increase
Project Manager,Manufacturing,59,Anxiety,High,21,Remote,Europe,EMP2573,6,Neutral,4,59,Increase
Data Scientist,Manufacturing,50,Burnout,High,16,Remote,Europe,EMP2574,0,Neutral,1,38,Decrease
Sales,Manufacturing,56,None,Low,15,Onsite,Europe,EMP2575,7,Satisfied,3,59,No Change
Software Engineer,IT,26,None,Medium,27,Hybrid,South America,EMP2576,10,Unsatisfied,5,37,No Change
Data Scientist,Healthcare,59,Burnout,High,18,Hybrid,Africa,EMP2577,9,Unsatisfied,2,26,Increase
HR,Manufacturing,26,Depression,Low,6,Remote,Europe,EMP2578,11,Unsatisfied,5,41,No Change
HR,Consulting,47,None,Medium,25,Onsite,Asia,EMP2579,10,Satisfied,1,56,Increase
Designer,Consulting,42,Anxiety,High,30,Hybrid,North America,EMP2580,4,Neutral,2,48,Increase
Marketing,Finance,52,None,Low,11,Onsite,Asia,EMP2581,0,Satisfied,5,49,Decrease
Designer,Healthcare,59,Burnout,Medium,2,Hybrid,Africa,EMP2582,2,Unsatisfied,2,47,No Change
HR,Retail,56,Anxiety,Low,5,Hybrid,North America,EMP2583,7,Neutral,4,54,No Change
Data Scientist,Manufacturing,29,Anxiety,Medium,19,Hybrid,South America,EMP2584,5,Satisfied,1,33,Increase
Marketing,Finance,54,Anxiety,Low,23,Hybrid,Africa,EMP2585,8,Neutral,2,59,No Change
Data Scientist,Retail,48,Burnout,Low,3,Onsite,Africa,EMP2586,2,Satisfied,1,21,Decrease
Project Manager,Education,49,None,High,29,Onsite,Europe,EMP2587,5,Satisfied,3,41,Increase
HR,Retail,47,Anxiety,Medium,26,Remote,Oceania,EMP2588,13,Satisfied,3,33,Decrease
Marketing,Consulting,47,Depression,Low,29,Hybrid,Africa,EMP2589,7,Satisfied,5,22,Decrease
Designer,Finance,60,Anxiety,Medium,13,Hybrid,Europe,EMP2590,2,Satisfied,3,21,No Change
HR,Finance,46,Burnout,Medium,29,Remote,North America,EMP2591,13,Neutral,3,29,Increase
Designer,Healthcare,30,Anxiety,Medium,31,Hybrid,Asia,EMP2592,15,Unsatisfied,2,23,Decrease
Sales,IT,58,Depression,High,1,Remote,Asia,EMP2593,10,Neutral,4,36,Decrease
Project Manager,IT,57,Anxiety,Low,21,Remote,Oceania,EMP2594,0,Neutral,4,29,Decrease
HR,Finance,48,Depression,Low,9,Remote,Africa,EMP2595,13,Neutral,3,37,No Change
HR,Consulting,47,Burnout,Low,5,Remote,Oceania,EMP2596,14,Satisfied,5,20,No Change
Project Manager,Education,25,Burnout,Low,14,Onsite,Europe,EMP2597,0,Unsatisfied,2,55,Increase
Sales,Healthcare,45,None,High,33,Hybrid,North America,EMP2598,5,Satisfied,3,29,Increase
Project Manager,Education,26,Burnout,Medium,3,Onsite,Asia,EMP2599,0,Unsatisfied,4,51,No Change
HR,Retail,50,Anxiety,High,17,Remote,Oceania,EMP2600,12,Unsatisfied,2,45,No Change
Marketing,Education,59,None,High,26,Remote,Asia,EMP2601,8,Satisfied,2,49,Decrease
Marketing,Education,35,None,Medium,24,Hybrid,Asia,EMP2602,2,Unsatisfied,2,21,Increase
Marketing,IT,44,None,Low,10,Hybrid,Oceania,EMP2603,12,Unsatisfied,2,40,No Change
Data Scientist,IT,41,Anxiety,Medium,1,Onsite,Africa,EMP2604,14,Unsatisfied,1,53,Increase
Sales,Healthcare,46,Anxiety,Low,12,Remote,Oceania,EMP2605,4,Unsatisfied,5,30,Decrease
Sales,Manufacturing,27,Burnout,Low,10,Onsite,Asia,EMP2606,4,Neutral,5,54,Increase
Data Scientist,Retail,27,Burnout,Medium,11,Onsite,Oceania,EMP2607,6,Satisfied,5,47,No Change
HR,Manufacturing,33,Anxiety,Medium,21,Onsite,South America,EMP2608,11,Neutral,2,39,No Change
Project Manager,Consulting,35,Depression,Low,23,Remote,Oceania,EMP2609,14,Satisfied,5,20,Increase
Sales,Finance,24,Burnout,High,20,Hybrid,Asia,EMP2610,5,Neutral,3,30,Increase
Marketing,IT,31,None,Medium,16,Hybrid,Africa,EMP2611,15,Unsatisfied,1,48,Decrease
Data Scientist,Retail,39,Depression,Low,21,Hybrid,North America,EMP2612,1,Unsatisfied,4,29,Increase
Data Scientist,Healthcare,42,Anxiety,Medium,13,Onsite,North America,EMP2613,6,Satisfied,4,54,No Change
Data Scientist,Education,46,Anxiety,Low,11,Hybrid,Oceania,EMP2614,13,Neutral,1,41,Decrease
