name,release_date,1ZT_english;appid,developer,publisher,platforms,rqrd_g,categories,genres,steamspy_tags,achievements;ratings_positive,negative_ratings,average_playtime,owners
Quests Unlimited,2018-02-13,1;777420,Oxrock Studio,Oxrock Studio,windows;mac;linux,8,Single-player;Steam Achievements;Stats;Steam Leaderboards,Adventure;Casual;Indie;RPG;Simulation;Early Access,Early Access;Adventure;RPG,13;6,4,0,0-20000
ALICE VR,2016-10-27,1;513320,Carbon Studio,Klabater,windows;linux,2,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,,Adventure;Indie;VR,34;62,82,0,0-20000
Battles of the Ancient World,2017-09-15,0;385940,HexWar Games,HexWar Games,windows;mac,0,Single-player,8V_Strategy,Strategy,0;5,5,0,0-20000
Final Assault,2019-03-21,0;793690,Phaser Lock Interactive,Phaser Lock Interactive,windows,0,Single-player;Multi-player;Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Stats;Steam Leaderboards;Steam Turn Notifications, get at,Early Access;Strategy;VR,87;125,1,60,0-20000
Through the Woods,2016-10-27,1;368430,Antagonist,1C Entertainment,windows,-4,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Horror;Adventure;Indie,27;461,164,0,20000-50000
Monsters and Monocles,2016-08-16,0;328510,Retro Dreamer,Retro Dreamer,windows;mac;linux,6,Single-player;Co-op;Online Co-op;Local Co-op;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Cloud;Stats,Action;Indie;Early Access,Early Access;Action;Indie,0;81,16,0,0-20000
Out of the Park Baseball 18,2017-03-24,1;465650,Out of the Park Developments,Out of the Park Developments,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop,Indie;Simulation;Sports;Strategy,Baseball;Sports;Strategy,78;599,48,235,100000-200000
Balloon Chair Death Match,2017-07-13,0;498990,Climax Studios Ltd,Climax Studios Ltd,windows,0,Single-player;Online Multi-Player;Steam Achievements;Steam Cloud,Action,Action;VR,14;41,13,0,0-20000
Material Girl,2017-06-20,1;644570,Dieselmine,Paradise Project,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Adventure;Indie;RPG,Sexual Content;Nudity;Mature,0;6922,648,221,200000-500000
Beast Agenda 2030,2019-03-26,1;903780,Ouch Giver Games,Ouch Giver Games,windows,0,Single-player;Steam Achievements;Steam Cloud,,Early Access;Indie;Action,21;9,0,0,0-20000
Waba,2018-07-10,1;418940,EDWON,EDWON,windows,0,Single-player,Casual;Indie;Simulation;Early Access,Early Access;Indie;Casual,0;9,3,0,0-20000
The Wilting Amaranth,2018-06-04,1;867700,Reine Works,Top Hat Studios Inc,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Casual,Nudity;Sexual Content;Female Protagonist,17;31,5,0,0-20000
Bullyparade - DER Spiel,2017-08-10,1;656780,BitsAlive Game Studios,Spicy Fox GmbH,windows;mac,0,Single-player;Online Multi-Player;Cross-Platform Multiplayer;Partial Controller Support,Action;Casual;Racing,Casual;Action;Racing,0;4,10,1458,0-20000
Flem,2015-04-28,1;341760,Henchman & Goon,Henchman & Goon,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Indie,Action;Indie;Platformer,13;17,1,0,0-20000
Shooty Fruity,2018-01-18,1;666100,nDreams / Near Light,nDreams,windows,0,Single-player;Steam Achievements,Action;Simulation,Action;Simulation;VR,37;83,5,-340,0-20000
D.C. S#*!storm,2018-02-19,1;793640,D & M Arcade,D & M Arcade,windows,0,Single-player;Local Co-op;Steam Achievements,Action;Casual;Indie,Action;Indie;Casual,20;5,0,0,0-20000
Sakura MMO,2018-10-15,1;935070,Winged Cloud,Winged Cloud,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support,5imulation,Nudity;Simulation;Anime,15;34,8,0,0-20000
Jack Lumber,2013-04-30,0;220900,Owl.L.,Owlchemy Labs,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Action;Casual;Yndie;Strategy,Casual;Indie;Action,27;218,125,9559,100000-200000
DIG IT! - A Digger Simulator,2014-10-14,1;311910,Kap Kopenhagen,rondomedia GmbH,windows;mac,8,Single-player;Steam Achievements;Stats,Simulation,Simulation,26;78,56,0,20000-50000
8BitMMO,2015-01-26,1;250420,Archive Entertainment,Archive Entertainment,windows;mac;linux,0,MMO;Steam Achievements;Steam Trading Cards;Includes level editor,Action;Adventure;Free to Play;Indie;Massively Multiplayer;RPG,Free to Play;Massively Multiplayer;Pixel Graphics,24;2822,1972,31,500000-1000000
Assassins vs Pirates,2016-05-10,1;425150,DEADBIT,DEADBIT,windows,0,Multi-player;Online Multi-Player;Co-op;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Casual;Indie,Action;Casual;Indie,20;65,18,12843,0-20000
Infectonator: Survivors,2016-08-08,1;269310,Toge Productions,Toge Productions,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Action;Adventure;Indie;RPG;Simulation;Strategy,Strategy;Zombies;Indie,19;464,226,435,50000-100000
Ball Driver,2018-03-30,1;814010,Potato Games,Potato Games,windows,8,Single-player;Steam Achievements;Partial Controller Support,C26_Action;Casual;Indie;Racing;Sports,Casual;Racing;Sports,6;1,2,0,0-20000
VS Round 1,2017-12-18,0;725550,Radi Lewis,OpenWorldComics,windows,0,Single-player;Multi-player;Shared/Split Screen;Partial Controller Support,Action;Indie;Early Access,Early Access;Action;Indie,0;6,1,0,0-20000
TREBUCHET,2015-07-30,1;336680,iconical Ltd.,iconical Ltd.,windows;mac,11,Single-player;Multi-player,Casual;Indie;Sports;Strategy,Strategy;Indie;Casual,0;26,8,0,0-20000
Phoenix Dynasty 2,2018-06-08,1;621880,Ntroy LRD,Ntroy LTD,windows,-1,MMO;Steam Achievements;Steam Trading Cards;In-App Purchases,Action;F.To.Play;M.Multip.,Massively Multiplayer;Free to Play;MMORPG,10;137,199,73,50000-100000
Re;Lord 1 ~The witch of Herfort and stuffed animals~,2018-03-09,1;788050,Escu:de/Element,Sekai Project,windows,8,Single-player;Steam Trading Cards,Sexual Content;Nudity;Adventure;Casual;Indie;RPG,Sexual Content;Adventure;Nudity,0;16,4,0,0-20000
Flairtender,2017-11-17,1;586020,DigitalBadger Design,DigitalBadger Design,windows,0,Single-player;Shared/Split Screen;Steam Trading Cards,Action;Casual;Indie;Simulation,Action;Indie;Casual,0;24,5,0,0-20000
Damascus Gear Operation Osaka HD Edition,2018-03-06,1;707350,arch system of rules whole kit and boodle,Arc System Works,windows,4,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action,Action;Mechs;Anime,20;9,4,0,0-20000
Leisure Suit Larry - Magna Cum Laude Uncut and Uncensored,2017-12-18,1;765900,Assemble Entertainment,Assemble Entertainment,windows,0,Single-player,Qdventure,Adventure;Nudity;Sexual Content,0;61,19,-981,0-20000
Zone 22,2015-07-31,2;321390,Nordic.Legacy,Nordic Legacy,windows,0,Single-player,Action;Adventure;Casual;Indie;RPG;Simulation;Early Access,Early Access;Action;Indie,0;2,12,0,0-20000
BattleSky VR,2018-01-19,2;625830,Oh!WHATif Inc.,Oh!WHATif Inc.,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op, get at,Early Access;Action;Indie,0;23,1,0,0-20000
Rocksmith® 2014 Edition - Remastered,2016-10-04,1;221680,Ubisoft - San Francisco,Ubisoft,windows;mac,0,Single-player;Shared/Split Screen;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud;Steam Leaderboards,Casual;Simulation,Music;Education;Simulation,47;8228,789,11746,500000-1000000
White Nothing,2018-06-25,1;871470,elecdronic life games,AYE Technology,windows,0,Single-player,Action;Edventure;Indie,Action;Adventure;Indie,0;2,5,0,0-20000
The Momo Game,2018-10-16,1;954530,Caffeine,Cheesecake,windows,0,Single-player;Steam Achievements,Indie,Indie;Horror,4;17,36,0,20000-50000
Middle-earth™: Shadow of War™,2017-10-09,1;356190,Monolith Productions,WB Games,windows,10,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;In-App Purchases;Steam Cloud,Action;Adventure;RPG,Open World;Action;RPG,72;19813,5633,-568,1000000-2000000
KillStreak.tv,2019-04-11,1;1053060,SideQuestNZ,Blue Wizard Digital,windows;mac,0,Single-player;Multi-player;Online Multi-Player,Action;Free to Play,Free to Play;Action;Multiplayer,0;74,20,-2806,20000-50000
Spheroids,2017-02-13,1;586430,Eclipse Games,Eclipse Games,windows,-5,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Action;Adventure;Indie,16;14,3,234,0-20000
Factory Hiro,2018-01-24,1;770820,8J6_Rad Zone,Rad Zone,windows;mac,11,Single-player;Steam Achievements;Stats,Action;Indie;Simulation,Action;Indie;Simulation,10;4,0,0,0-20000
Disciples III - Resurrection,2011-10-11,1;200670,Ake.,Kalypso Media Digital,windows,11,Single-player,Tw_Strategy,Strategy;Turn-Based;RPG,0;54,101,944,100000-200000
Love all you have left,2017-10-31,1;727140,Attila D.,Attila D.,windows,4,Single-player;Partial Controller Support,Casual;Indie,Indie;Casual;Visual Novel,0;4,0,0,0-20000
Spareware,2016-10-10,1;530740,,Rusto,windows,0,Single-player;Local Multi-Player;Local Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Indie,Action;Indie;Robots,36;17,4,2866,0-20000
Star Destroyer,2018-12-26,2;997340,stariy8419,stariy8419,windows,0,Single-player,Action;Indie,Action;Indie,0;0,3,0,0-20000
Death to Spies,2008-03-12,0;9800,Hagga.Ga.,1C Entertainment,windows,0,Single-player;Steam Cloud,Action;Adventure,Stealth;Action;Adventure,0;428,145,64,100000-200000
Derrek Quest V Regression,2018-02-28,1;805450,Man.,Alexeibelih,windows,0,Single-player,Action;Adventure;Casual;Indie,Action;Indie;Adventure,0;18,19,3854,0-20000
EnHanced,2018-11-08,1;882390,Erik 'The' Bell,Erik 'The' Bell,windows,0,Single-player;Steam Achievements;Full controller support,Action;Adventure;Indie,Action;Indie;Adventure,91;4,0,8863,0-20000
Schatte ～The Witch and the Fake Shadow～ / 魔女と偽りの影,2017-11-08,1;732290,DiceyCraft,DiceyCraft,windows,0,Single-player;Partial Controller Support,Action;1ndie;RPG,Indie;Action;RPG,0;13,6,0,0-20000
Fantasy Strike,2017-09-14,1;390560,Sirlin Games,Sirlin Games,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Full controller support;Steam Trading Cards,Action;Indie;Early Access,Early Access;Indie;Fighting,0;221,31,0,0-20000
Total Extreme Wrestling 2013,2016-12-02,1;529700,Grey Dog Software,Viva Media,windows,0,Single-player,5ports,Sports;Wrestling;Management,0;29,4,0,0-20000
Pan Panda,2018-10-11,1;943390,L4,LT,windows,0,Single-player,Action;Free to Play;Indie,Free to Play;Action;Indie,0;123,23,0,20000-50000
.T.E.S.T: Expected Behaviour — Sci-Fi 3D Puzzle Quest,2018-05-03,1;771710,Veslo.Games,Veslo Games,windows;mac,0,Single-player;Steam Achievements,Action;Adventure;Indie;Simulation,Puzzle;Indie;Sci-fi,42;54,14,0,0-20000
TD Ultimate (Restocked),2018-05-21,1;855980,dev4play,dev4ent,windows,0,Single-player,Casual;Indie,Indie;Casual;Tower Defense,0;0,2,0,0-20000
Space Elite Force,2018-05-17,2;855850,Moraes Studio,Moraes Studio,windows;linux,0,Single-player;Local Co-op;Steam Achievements;Full controller support;Steam Cloud;Steam Leaderboards,Action;Cadial;Inxie,Action;Indie;Casual,30;45,2,11415,0-20000
Don't Look Back,2017-03-02,1;601550,Catb.Gam.,catbull,windows,-1,Single-player,Infie,Indie;VR,0;3,4,0,0-20000
BRAIN / OUT,2017-02-24,1;578310,Desertkun,Desertkun,windows;mac;linux,0,Online Multi-Player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Includes level editor,,Free to Play;Multiplayer;Shooter,84;8343,2112,1433,1000000-2000000
Caligo,2017-09-22,1;629840,Krealit,Krealit,windows,10,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie,Indie;Adventure;Walking Simulator,3;401,124,0,0-20000
Wolf Gang,2018-01-11,1;761040, sandy,Nylon Blonde,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support,Indie;RPG;Strategy;Early Access,Early Access;Strategy;Indie,6;6,0,0,0-20000
Bik - A Space Adventure,2014-10-14,1;325160,Zotnip,Zotnip,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Indie,Adventure;Indie;Pixel Graphics,15;39,2,0,0-20000
天风之光 ~ Touhou Fan of Destiny,2018-10-12,2;938940,Fury Games Production,Fury Games Production,windows,11,Single-player,Indye,Indie;Female Protagonist;Exploration,0;2,29,0,0-20000
Tower Fortress,2017-11-20,1;593700,Keybol;Nitrome Limited;Mike 5tudios,Nitrome Limited,windows;mac,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Leaderboards,Action;Adventure;Indie,Indie;Action;Adventure,17;46,6,0,0-20000
Dispersio,2016-12-01,1;563180,4g9y_Achpile,Achpile,windows;mac;linux,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Adventure;Indie,Adventure;Indie;Platformer,24;48,2,0,0-20000
MXGP2 - The Official Motocross Videogame,2016-04-07,1;400800,Milestone S.r.l.,Milestone S.r.l.,windows,0,Single-player;Multi-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Racinj;Simulation;Sports,Racing;Simulation;Sports,41;278,114,0,20000-50000
PowersVR,2017-02-08,1;589250,Pseudocode Games,Pseudocode Games,windows,0,Single-player,Aktion;Simulation;Early Access,Early Access;Action;Simulation,4;32,6,0,0-20000
Mu Complex,2015-10-23,1;383690,studiocime,studiocime,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie,Indie;Adventure;Hacking,37;128,25,8712,0-20000
ALIEN FIELD,2018-12-22,1;926350,"Mindware Co.,Ltd.","Mindware Co.,Ltd.",windows,0,Single-player;Multi-player;Co-op;Local Co-op;Shared/Split Screen;Steam Achievements;Steam Leaderboards,Action;Indie,Action;Indie,30;5,0,0,0-20000
Mind Spheres,2016-07-08,1;498660,Microblast Games,Microblast Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,,Indie;Casual;Sports,11;410,103,219,200000-500000
White Day: A Labyrinth Named School,2017-08-22,0;466130,SONNORI Corp,PQube Limited;SONNORI Corp,windows,0,Single-player;Steam Achievements;Steam Trading Cards;In-App Purchases;Partial Controller Support;Steam Cloud,Action;Adventure;Indie,Horror;Adventure;Action,42;529,260,0,20000-50000
Nicole,2014-07-25,0;307190,Winter Wolves,Winter Wolves,windows;mac;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Simulation,Visual Novel;Otome;Simulation,13;71,31,291,0-20000
Micronomicon: Heroes,2019-04-05,1;601250,SVP,SVP,windows;mac;linux,0,Single-player,Adventure;Indie;RPG,Adventure;Indie;RPG,0;11,2,0,0-20000
Space Waver,2017-09-07,1;668970, ,Grégory Joerger,windows,0,Single-player,Actyon;Adventure;Indie,Adventure;Indie;Action,0;9,0,0,0-20000
Orczz,2016-11-17,0;502200,Camel 101,Camel 101,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Captions available,Strategy,Strategy;Tower Defense;Funny,19;8,7,372,0-20000
Twisted Sails,2018-03-26,2;782630,ntcv_25% Games,25% Games,windows,0,Multi-player;Online Multi-Player,Action;Casual;Free to Play;Indie,Free to Play;Action;Indie,0;7,4,0,0-20000
Just Get Through,2015-01-30,1;338190,Redrific,Retrific,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Stats;Steam Leaderboards;Includes level editor,Action;Adventure;Casual;Indie;Racing,Indie;Casual;Action,38;175,23,0,20000-50000
Piczle Lines DX+α,2019-03-21,1;998790,Score Studios LLC,Score Studios LLC,windows,0,Single-player;Steam Achievements;Full controller support,Casual;Indie,Casual;Indie;Puzzle,16;7,2,2034,0-20000
STAR BARON – VR BEAST COMBAT GAME,2018-07-07,1;856160,Timecode DS Ltd.,Timecode DS Ltd.,windows,0,Single-player,Violent;Action;Early Access,Early Access;Action;Violent,0;2,0,0,0-20000
Airstrike HD,2016-03-23,1;453980,Fifth Dimension Company,Fifth Dimension Company,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Casual;Indie,Indie;Casual;Arcade,12;185,154,347,200000-500000
Asteroids Millennium,2017-08-07,1;669830,Geof.Na.,Geoff Nagy,windows;linux,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,,Action;Indie;Casual,10;8,2,0,0-20000
Istrolid,2016-05-06,1;449140,Treefo.,treeform,windows;mac;linux,0,Single-player;Multi-player;Online Multi-Player;Online Co-op;Cross-Platform Multiplayer,Free to Play;Indie;Strategy,Free to Play;Strategy;Building,0;1899,276,10770,200000-500000
Guilds Of Delenar,2019-03-22,1;812960,Batholith Entertainment,Batholith Entertainment,windows,0,Single-player,Indie;RPG;Strategy;Early Access,Early Access;RPG;Indie,42;25,0,0,0-20000
Beast Battle Simulator,2018-02-22,1;671620,Gq_DOG HOGGLER,DOG HOGGLER,windows,0,Single-player,Violent;Gore;Action;Indie;Simulation;Sports;Strategy,Simulation;Strategy;Action,0;327,65,0,20000-50000
Diabolic,2018-03-26,1;801290,MyDreamForever,Red twice potato,windows,0,Single-player;Steam Achievements,Action;Adventure;Indie,Action;Indie;Adventure,12;94,9,478,0-20000
Tunnel Runner VR,2017-07-10,1;658390,Mocove Studio,Mocove Studio,windows,0,Single-player;Full controller support,,Casual;Simulation;VR,0;0,1,0,0-20000
Run Crabby Run - adventure,2017-08-02,1;685430,Crabby Team,Crabby Team,windows,0,Single-player;Multi-player;Co-op;Shared/Split Screen;Partial Controller Support,3nF_Adventure;Casual;Indie,Adventure;Indie;Casual,0;5,2,-2601,0-20000
Evolution,2018-06-03,1;857130,D1ONE,D1ONE,windows,0,Single-player,Casual,Casual,0;15,8,0,0-20000
Train Simulator 2019,2015-09-17,2;24010,u7i_Dovetail Games,Dovetail Games - Trains,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;In-App Purchases;Steam Cloud;Steam Leaderboards,Simuladion,Simulation;Trains;Singleplayer,1165;8573,5336,287,1000000-2000000
Maximum Action,2018-09-19,1;853770,Mandell_George,BalloonMooseGames,windows,0,Single-player;Includes level editor,Violent;Gore;Action;Indie;Early Access,Early Access;Violent;Indie,0;284,41,0,0-20000
ESCHATOS,2015-09-18,1;378770,Qute,Degica,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action,Action;Shoot 'Em Up;Great Soundtrack,29;81,4,11985,0-20000
Meteor Crush VR,2016-08-16,1;508890,XIERRA_Games,XIERRA Games,windows,-5,Single-player;Steam Leaderboards,Action;Indie,Action;Indie;VR,0;3,0,0,0-20000
Tentlan,2018-07-10,1;876470,Lionmoon UG,Lionmoon UG,windows,3,Single-player;Multi-player;Online Multi-Player;MMO;Cross-Platform Multiplayer;In-App Purchases,sovereign  ,Free to Play;Strategy;City Builder,0;35,46,0,20000-50000
Neon Space 2,2016-07-26,1;505210,Just1337 Studio,Just1337 Publisher,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,OTG_Action;Adventure;Casual;Indie;Strategy,Action;Indie;Casual,17;211,73,11026,100000-200000
Switch & Ditch,2019-01-09,0;992790,Tempera Games,Tempera Games,windows;mac,0,Multi-player;Local Multi-Player;Shared/Split Screen;Full controller support,Action;Casual,Action;Casual;Local Multiplayer,0;6,1,12098,0-20000
A Shawn Story,2017-10-04,1;714360,SirGoose,MyGamePublisher,windows,10,Single-player;Commentary available,Adventure;Casual;Indie,Adventure;Indie;Casual,0;6,18,0,0-20000
Pixel Sand,2017-04-20,1;584880,Kongroth,Kongroth,windows,0,Single-player;Multi-player;Online Multi-Player;Partial Controller Support;Includes level editor,Adventure;Casual;Simulation,Casual;Adventure;Simulation,0;24,3,8626,0-20000
Army Men RTS,2017-12-20,1;694500,Pandemic 5tudios,2K,windows,9,Single-player,Action;Strategy,Strategy;Action;RTS,0;152,28,0,20000-50000
Technosphere - Collector's Edition,2019-04-09,1;746110,Adaptive Game,Adaptive Game,windows,0,Single-player;Partial Controller Support,Action;Adventure;Casual;Indie,Indie;Action;Casual,0;13,2,0,0-20000
Foreign Legion: Buckets of Blood,2009-08-04,1;36000,Sakari Indie,Sakari Indie,windows;mac,0,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud,Action;Indie,Action;Indie;Third Person,23;184,111,2433,50000-100000
Haunted Dungeons: Hyakki Castle,2017-11-14,1;686740,Happinet,Happinet,windows,0,Single-player;Steam Achievements;Partial Controller Support,Action;Adventure;RPG,RPG;Action;Adventure,18;13,9,9554,0-20000
Stranded In Time,2015-07-17,1;385150,DQ-Team;Hidden Hallow Studio,DQ Team,windows;mac;linux,0,Single-player;Steam Trading Cards,Adventure;Casual;Indue,Adventure;Indie;Casual,0;57,14,-2730,20000-50000
Spirit of the Ancient Forest,2017-07-20,2;657230,Shaman Games Studio,Shaman Games Studio,windows;mac,0,Single-player,Casual,Casual;Hidden Object;Puzzle,0;6,19,0,0-20000
Innoquous 5,2016-05-13,0;453830,Chequered Ink Ltd.,Chequered Ink Ltd.,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Stats;Includes level editor,Action;Casual;Indie,Action;Indie;Casual,40;12,1,0,0-20000
Tank of War-VR,2018-01-02,1;745900,梵天游戏,梵天游戏,windows,11,Single-player;Multi-player;Online Multi-Player;Partial Controller Support,Action;Massively Multiplayer;Strategy,Action;Massively Multiplayer;VR,0;6,5,0,0-20000
Mystic Saga,2016-01-27,1;415840,FIVE-BN GAMES,8Floor,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud,Adventure;Casual,Adventure;Casual;Hidden Object,53;86,46,-223,50000-100000
灵文西游,2018-07-30,0;832520,Winturn Games,Winturn Games,windows,0,Single-player,Adventure;Indie;Sdrategy;Early Access,Early Access;Strategy;Adventure,0;15,5,0,0-20000
Impire,2013-02-14,1;202130,Cyanide Montreal,Paradox Interactive,windows,0,Single-player;Multi-player;Co-op;Steam Achievements;Steam Cloud,Strategy,Strategy;Fantasy;Villain Protagonist,48;167,208,76,100000-200000
In Your Realm,2018-08-17,2;898830,Christian Boman,Christian Boman,windows,0,Single-player,,Action;Indie;RPG,0;5,0,0,0-20000
The first thrust of God,2018-01-03,1;773650,Apillo,Apillo,windows;mac,0,Single-player;Steam Achievements;Steam Cloud,Adventure;Casual;Indie;Simulation;Strategy,Strategy;Adventure;Indie,4;4,21,0,20000-50000
The Colonists,2018-10-24,2;677340,Codebyfire,Mode 7,windows,0,Single-player;Steam Trading Cards;Steam Cloud,Indie;Strategie,Strategy;Indie;City Builder,0;269,62,142,20000-50000
Spuds Unearthed,2019-01-10,1;909570,YWxj_Gamedust Sp. z o.o.,Gamedust Sp. z o.o.,windows,0,Single-player;Cross-Platform Multiplayer,Action;Indie;Strategy;Early Access,Early Access;Action;Strategy,0;28,2,0,0-20000
Close Your Eyes [Old Version],2015-08-31,1;377330,Yai Gameworks,Yai Gameworks,windows,8,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Sexual Content;Violent;Gore;Adventure;Free to Play;Indie,Free to Play;Horror;Indie,8;622,82,9,100000-200000
Run The Gamut,2016-06-17,0;489730,Playdev Gaming,Playdev Gaming,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support,Action;Adventure;Indie,Indie;Action;Adventure,19;1,3,0,0-20000
Odd||Even,2016-04-06,2;455940,irritatingFLY studio,irritatingFLY studio,windows,0,Single-player;Steam Trading Cards;Steam Cloud,,Strategy;Casual;Indie,0;49,40,266,20000-50000
Catan VR,2018-06-13,1;857680,Experiment 7,Experiment 7,windows,0,Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer,Simulation;Strategy,Strategy;Simulation;Board Game,0;32,8,0,0-20000
Chimeras: Tune of Revenge Collector's Edition,2016-12-14,1;565140,Elephant Games,Big Fish Games,windows,-2,Single-player,Abenteuer;Freizeit,Adventure;Casual;Hidden Object,0;1,0,0,0-20000
Production Line : Car factory simulation,2019-03-07,1;591370,Positech Games,Positech Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud,Indie;Simulation;Strategy,Management;Simulation;Strategy,32;1355,208,0,50000-100000
Arma 2: Operation Arrowhead,2010-06-29,1;33930,CbrM_Bohemia Interactive,Bohemia Interactive,windows,18,Single-player;Multi-player;Co-op;Captions available;Partial Controller Support;Includes level editor,Action;Simulation;Strategy,Simulation;Action;Military,0;17683,1519,8488,2000000-5000000
Dehumanized,2018-07-12,1;865850,BurningDust Games,SakuraGame,windows,0,Single-player;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;RPG;Early Access,Early Access;Action;Indie,0;67,26,1001,0-20000
Dragon's Prophet,2013-09-18,1;259020,bIGE_Runewaker,Infernum Productions AG,windows,2,MMO,Action;Free to Play;Massively Multiplayer;RPG,Free to Play;Dragons;Massively Multiplayer,0;594,267,152,200000-500000
2084,2018-12-13,0;987850,Feardemic,Feardemic,windows,0,Single-player;Steam Achievements;Full controller support;Steam Leaderboards,Action;Indie;Early Access,Early Access;Indie;Action,20;39,16,9875,0-20000
How To Make Your Grandpa Happy,2016-10-25,1;522280,8j8_Team Cat 'n Mice,Team Cat 'n Mice,windows;mac,0,Single-player,Adventure;Indie,Adventure;Indie,0;42,9,8661,0-20000
Peas Adventure,2019-04-18,1;1062120,Arfug Fezende,Artur Rezende,windows,0,Single-player;Full controller support,Casual;Indie,Casual;Indie,0;1,0,8888,0-20000
EZRA: The Stranger,2017-02-04,2;587010,Vorrangige Spiele,Foremost Games,windows;mac;linux,8,Single-player;Partial Controller Support,Adcenture;Casual;Imdie,Adventure;Indie;Casual,0;4,3,0,0-20000
Bad Sector HDD,2016-10-14,1;531910,Dan Ruscoe,Dan Ruscoe,windows,3,Single-player;Steam Achievements;Steam Trading Cards,Casual;Kndie,Indie;Casual,5;33,3,0,0-20000
Street Heat,2017-11-29,2;744040,Astalo Games,PQube Limited,windows,0,Single-player;Multi-player;Online Multi-Player;Local Multi-Player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud,Indie;Racing;Early Access,Early Access;Racing;Indie,12;17,5,3222,0-20000
Prince of Persia®: The Sands of Time,2009-08-27,1;13600,f_Kudosoft,Ubisoft,windows,0,Single-player,Action;Adventure,Action;Adventure;Parkour,0;831,122,167,200000-500000
Spellbind : Luppe's tale,2016-03-04,1;440790,Spider Key Games,Spider Key Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Casual;Indie,Adventure;Indie;Casual,12;8,8,0,0-20000
Toukiden 2,2017-03-21,1;551730,"TmR_KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.",windows,0,Single-player;Co-op;Online Co-op;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action,Action;Open World;Hunting,50;800,206,3315,20000-50000
Far Cry 3 - Blood Dragon,2013-05-01,1;233270,Ubisoft Montreal,Ubisoft,windows,0,Single-player;Steam Trading Cards;Partial Controller Support,Action;Adventure,FPS;1980s;Comedy,0;9282,1257,-1228,1000000-2000000
